job,ws,sequence,priority,duration,start,end
0.0,5.0,10.0,10.0,88.0,819.0,907.0
0.0,9.0,20.0,10.0,68.0,996.0,1064.0
0.0,7.0,30.0,10.0,94.0,1064.0,1158.0
0.0,6.0,40.0,10.0,99.0,1158.0,1257.0
0.0,2.0,50.0,10.0,67.0,1325.0,1392.0
0.0,3.0,60.0,10.0,89.0,1482.0,1571.0
0.0,10.0,70.0,10.0,77.0,1739.0,1816.0
0.0,8.0,80.0,10.0,99.0,1816.0,1915.0
0.0,1.0,90.0,10.0,86.0,1915.0,2001.0
0.0,4.0,100.0,10.0,92.0,2001.0,2093.0
1.0,6.0,10.0,4.0,72.0,0.0,72.0
1.0,4.0,20.0,4.0,50.0,72.0,122.0
1.0,7.0,30.0,4.0,69.0,122.0,191.0
1.0,5.0,40.0,4.0,75.0,351.0,426.0
1.0,3.0,50.0,4.0,94.0,426.0,520.0
1.0,9.0,60.0,4.0,66.0,520.0,586.0
1.0,1.0,70.0,4.0,92.0,750.0,842.0
1.0,2.0,80.0,4.0,82.0,842.0,924.0
1.0,8.0,90.0,4.0,94.0,924.0,1018.0
1.0,10.0,100.0,4.0,63.0,1018.0,1081.0
2.0,10.0,10.0,3.0,83.0,0.0,83.0
2.0,9.0,20.0,3.0,61.0,83.0,144.0
2.0,1.0,30.0,3.0,83.0,144.0,227.0
2.0,2.0,40.0,3.0,65.0,252.0,317.0
2.0,7.0,50.0,3.0,64.0,317.0,381.0
2.0,6.0,60.0,3.0,85.0,381.0,466.0
2.0,8.0,70.0,3.0,78.0,466.0,544.0
2.0,5.0,80.0,3.0,85.0,549.0,634.0
2.0,3.0,90.0,3.0,55.0,704.0,759.0
2.0,4.0,100.0,3.0,77.0,759.0,836.0
3.0,8.0,10.0,2.0,94.0,0.0,94.0
3.0,3.0,20.0,2.0,68.0,94.0,162.0
3.0,2.0,30.0,2.0,61.0,191.0,252.0
3.0,5.0,40.0,2.0,99.0,252.0,351.0
3.0,4.0,50.0,2.0,54.0,351.0,405.0
3.0,7.0,60.0,2.0,75.0,468.0,543.0
3.0,6.0,70.0,2.0,66.0,608.0,674.0
3.0,1.0,80.0,2.0,76.0,674.0,750.0
3.0,10.0,90.0,2.0,63.0,750.0,813.0
3.0,9.0,100.0,2.0,67.0,813.0,880.0
4.0,4.0,10.0,9.0,69.0,122.0,191.0
4.0,5.0,20.0,9.0,88.0,731.0,819.0
4.0,10.0,30.0,9.0,82.0,819.0,901.0
4.0,9.0,40.0,9.0,95.0,901.0,996.0
4.0,1.0,50.0,9.0,99.0,1236.0,1335.0
4.0,3.0,60.0,9.0,67.0,1415.0,1482.0
4.0,7.0,70.0,9.0,95.0,1482.0,1577.0
4.0,6.0,80.0,9.0,68.0,1577.0,1645.0
4.0,8.0,90.0,9.0,67.0,1645.0,1712.0
4.0,2.0,100.0,9.0,86.0,1712.0,1798.0
5.0,2.0,10.0,5.0,99.0,0.0,99.0
5.0,5.0,20.0,5.0,81.0,99.0,180.0
5.0,6.0,30.0,5.0,64.0,180.0,244.0
5.0,7.0,40.0,5.0,66.0,244.0,310.0
5.0,9.0,50.0,5.0,80.0,310.0,390.0
5.0,3.0,60.0,5.0,80.0,520.0,600.0
5.0,8.0,70.0,5.0,69.0,600.0,669.0
5.0,10.0,80.0,5.0,62.0,669.0,731.0
5.0,4.0,90.0,5.0,79.0,836.0,915.0
5.0,1.0,100.0,5.0,88.0,915.0,1003.0
6.0,8.0,10.0,7.0,50.0,94.0,144.0
6.0,2.0,20.0,7.0,86.0,317.0,403.0
6.0,5.0,30.0,7.0,97.0,634.0,731.0
6.0,4.0,40.0,7.0,96.0,915.0,1011.0
6.0,1.0,50.0,7.0,95.0,1011.0,1106.0
6.0,9.0,60.0,7.0,97.0,1106.0,1203.0
6.0,3.0,70.0,7.0,66.0,1203.0,1269.0
6.0,6.0,80.0,7.0,99.0,1269.0,1368.0
6.0,7.0,90.0,7.0,52.0,1368.0,1420.0
6.0,10.0,100.0,7.0,71.0,1420.0,1491.0
7.0,5.0,10.0,6.0,98.0,0.0,98.0
7.0,7.0,20.0,6.0,73.0,543.0,616.0
7.0,4.0,30.0,6.0,82.0,616.0,698.0
7.0,3.0,40.0,6.0,51.0,759.0,810.0
7.0,2.0,50.0,6.0,71.0,924.0,995.0
7.0,6.0,60.0,6.0,94.0,995.0,1089.0
7.0,8.0,70.0,6.0,85.0,1089.0,1174.0
7.0,1.0,80.0,6.0,62.0,1174.0,1236.0
7.0,9.0,90.0,6.0,95.0,1236.0,1331.0
7.0,10.0,100.0,6.0,79.0,1331.0,1410.0
8.0,1.0,10.0,8.0,94.0,227.0,321.0
8.0,7.0,20.0,8.0,71.0,616.0,687.0
8.0,4.0,30.0,8.0,81.0,1011.0,1092.0
8.0,8.0,40.0,8.0,85.0,1174.0,1259.0
8.0,2.0,50.0,8.0,66.0,1259.0,1325.0
8.0,3.0,60.0,8.0,90.0,1325.0,1415.0
8.0,5.0,70.0,8.0,76.0,1415.0,1491.0
8.0,6.0,80.0,8.0,58.0,1491.0,1549.0
8.0,9.0,90.0,8.0,93.0,1549.0,1642.0
8.0,10.0,100.0,8.0,97.0,1642.0,1739.0
9.0,4.0,10.0,1.0,50.0,0.0,50.0
9.0,1.0,20.0,1.0,59.0,50.0,109.0
9.0,2.0,30.0,1.0,82.0,109.0,191.0
9.0,9.0,40.0,1.0,67.0,191.0,258.0
9.0,8.0,50.0,1.0,56.0,258.0,314.0
9.0,10.0,60.0,1.0,96.0,314.0,410.0
9.0,7.0,70.0,1.0,58.0,410.0,468.0
9.0,5.0,80.0,1.0,81.0,468.0,549.0
9.0,6.0,90.0,1.0,59.0,549.0,608.0
9.0,3.0,100.0,1.0,96.0,608.0,704.0
