job,ws,sequence,priority,duration,start,end
0.0,7.0,10.0,7.0,54.0,0.0,54.0
0.0,1.0,20.0,7.0,87.0,456.0,543.0
0.0,5.0,30.0,7.0,48.0,543.0,591.0
0.0,4.0,40.0,7.0,60.0,591.0,651.0
0.0,8.0,50.0,7.0,39.0,663.0,702.0
0.0,9.0,60.0,7.0,35.0,817.0,852.0
0.0,2.0,70.0,7.0,72.0,852.0,924.0
0.0,6.0,80.0,7.0,95.0,924.0,1019.0
0.0,3.0,90.0,7.0,66.0,1019.0,1085.0
0.0,10.0,100.0,7.0,5.0,1085.0,1090.0
1.0,4.0,10.0,3.0,20.0,0.0,20.0
1.0,10.0,20.0,3.0,46.0,20.0,66.0
1.0,7.0,30.0,3.0,34.0,66.0,100.0
1.0,6.0,40.0,3.0,55.0,100.0,155.0
1.0,1.0,50.0,3.0,97.0,155.0,252.0
1.0,9.0,60.0,3.0,19.0,252.0,271.0
1.0,5.0,70.0,3.0,59.0,271.0,330.0
1.0,3.0,80.0,3.0,21.0,412.0,433.0
1.0,8.0,90.0,3.0,37.0,481.0,518.0
1.0,2.0,100.0,3.0,46.0,518.0,564.0
2.0,5.0,10.0,1.0,45.0,0.0,45.0
2.0,2.0,20.0,1.0,24.0,45.0,69.0
2.0,9.0,30.0,1.0,28.0,69.0,97.0
2.0,1.0,40.0,1.0,28.0,97.0,125.0
2.0,8.0,50.0,1.0,83.0,125.0,208.0
2.0,7.0,60.0,1.0,78.0,208.0,286.0
2.0,6.0,70.0,1.0,23.0,286.0,309.0
2.0,4.0,80.0,1.0,25.0,309.0,334.0
2.0,10.0,90.0,1.0,5.0,334.0,339.0
2.0,3.0,100.0,1.0,73.0,339.0,412.0
3.0,10.0,10.0,2.0,12.0,0.0,12.0
3.0,2.0,20.0,2.0,37.0,69.0,106.0
3.0,5.0,30.0,2.0,38.0,106.0,144.0
3.0,4.0,40.0,2.0,71.0,144.0,215.0
3.0,9.0,50.0,2.0,33.0,215.0,248.0
3.0,3.0,60.0,2.0,12.0,248.0,260.0
3.0,7.0,70.0,2.0,55.0,286.0,341.0
3.0,1.0,80.0,2.0,53.0,341.0,394.0
3.0,8.0,90.0,2.0,87.0,394.0,481.0
3.0,6.0,100.0,2.0,29.0,481.0,510.0
4.0,4.0,10.0,4.0,83.0,20.0,103.0
4.0,3.0,20.0,4.0,49.0,103.0,152.0
4.0,7.0,30.0,4.0,23.0,152.0,175.0
4.0,10.0,40.0,4.0,27.0,175.0,202.0
4.0,8.0,50.0,4.0,65.0,208.0,273.0
4.0,1.0,60.0,4.0,48.0,273.0,321.0
4.0,5.0,70.0,4.0,90.0,330.0,420.0
4.0,6.0,80.0,4.0,7.0,420.0,427.0
4.0,2.0,90.0,4.0,40.0,427.0,467.0
4.0,9.0,100.0,4.0,17.0,467.0,484.0
5.0,2.0,10.0,5.0,66.0,106.0,172.0
5.0,5.0,20.0,5.0,25.0,172.0,197.0
5.0,1.0,30.0,5.0,62.0,394.0,456.0
5.0,3.0,40.0,5.0,84.0,456.0,540.0
5.0,10.0,50.0,5.0,13.0,540.0,553.0
5.0,7.0,60.0,5.0,64.0,553.0,617.0
5.0,8.0,70.0,5.0,46.0,617.0,663.0
5.0,9.0,80.0,5.0,59.0,663.0,722.0
5.0,6.0,90.0,5.0,19.0,722.0,741.0
5.0,4.0,100.0,5.0,85.0,741.0,826.0
6.0,2.0,10.0,9.0,73.0,172.0,245.0
6.0,4.0,20.0,9.0,80.0,334.0,414.0
6.0,1.0,30.0,9.0,41.0,543.0,584.0
6.0,3.0,40.0,9.0,53.0,584.0,637.0
6.0,10.0,50.0,9.0,47.0,637.0,684.0
6.0,8.0,60.0,9.0,57.0,752.0,809.0
6.0,9.0,70.0,9.0,74.0,880.0,954.0
6.0,5.0,80.0,9.0,14.0,954.0,968.0
6.0,7.0,90.0,9.0,67.0,968.0,1035.0
6.0,6.0,100.0,9.0,88.0,1035.0,1123.0
7.0,6.0,10.0,8.0,64.0,0.0,64.0
7.0,4.0,20.0,8.0,84.0,215.0,299.0
7.0,7.0,30.0,8.0,46.0,341.0,387.0
7.0,2.0,40.0,8.0,78.0,564.0,642.0
7.0,1.0,50.0,8.0,84.0,642.0,726.0
7.0,8.0,60.0,8.0,26.0,726.0,752.0
7.0,9.0,70.0,8.0,28.0,852.0,880.0
7.0,10.0,80.0,8.0,52.0,880.0,932.0
7.0,3.0,90.0,8.0,41.0,932.0,973.0
7.0,5.0,100.0,8.0,63.0,973.0,1036.0
8.0,2.0,10.0,6.0,11.0,0.0,11.0
8.0,1.0,20.0,6.0,64.0,11.0,75.0
8.0,8.0,30.0,6.0,67.0,273.0,340.0
8.0,5.0,40.0,6.0,85.0,420.0,505.0
8.0,4.0,50.0,6.0,10.0,505.0,515.0
8.0,6.0,60.0,6.0,73.0,515.0,588.0
8.0,10.0,70.0,6.0,38.0,588.0,626.0
8.0,9.0,80.0,6.0,95.0,722.0,817.0
8.0,7.0,90.0,6.0,97.0,817.0,914.0
8.0,3.0,100.0,6.0,17.0,914.0,931.0
9.0,5.0,10.0,10.0,60.0,45.0,105.0
9.0,9.0,20.0,10.0,32.0,105.0,137.0
9.0,3.0,30.0,10.0,95.0,152.0,247.0
9.0,4.0,40.0,10.0,93.0,826.0,919.0
9.0,2.0,50.0,10.0,65.0,924.0,989.0
9.0,7.0,60.0,10.0,85.0,1035.0,1120.0
9.0,8.0,70.0,10.0,43.0,1120.0,1163.0
9.0,10.0,80.0,10.0,85.0,1163.0,1248.0
9.0,6.0,90.0,10.0,46.0,1248.0,1294.0
9.0,1.0,100.0,10.0,59.0,1294.0,1353.0
