job,ws,sequence,priority,duration,start,end
0.0,1.0,10.0,2.0,29.0,20.0,49.0
0.0,2.0,20.0,2.0,78.0,49.0,127.0
0.0,3.0,30.0,2.0,9.0,127.0,136.0
0.0,4.0,40.0,2.0,36.0,136.0,172.0
0.0,5.0,50.0,2.0,49.0,198.0,247.0
0.0,6.0,60.0,2.0,11.0,247.0,258.0
0.0,7.0,70.0,2.0,62.0,258.0,320.0
0.0,8.0,80.0,2.0,56.0,320.0,376.0
0.0,9.0,90.0,2.0,44.0,376.0,420.0
0.0,10.0,100.0,2.0,21.0,420.0,441.0
1.0,1.0,10.0,5.0,43.0,49.0,92.0
1.0,3.0,20.0,5.0,90.0,136.0,226.0
1.0,5.0,30.0,5.0,75.0,247.0,322.0
1.0,10.0,40.0,5.0,11.0,340.0,351.0
1.0,4.0,50.0,5.0,69.0,366.0,435.0
1.0,2.0,60.0,5.0,28.0,435.0,463.0
1.0,7.0,70.0,5.0,46.0,463.0,509.0
1.0,6.0,80.0,5.0,46.0,509.0,555.0
1.0,8.0,90.0,5.0,72.0,693.0,765.0
1.0,9.0,100.0,5.0,30.0,765.0,795.0
2.0,2.0,10.0,8.0,91.0,463.0,554.0
2.0,1.0,20.0,8.0,85.0,597.0,682.0
2.0,4.0,30.0,8.0,39.0,682.0,721.0
2.0,3.0,40.0,8.0,74.0,721.0,795.0
2.0,9.0,50.0,8.0,90.0,814.0,904.0
2.0,6.0,60.0,8.0,10.0,904.0,914.0
2.0,8.0,70.0,8.0,12.0,943.0,955.0
2.0,7.0,80.0,8.0,89.0,955.0,1044.0
2.0,10.0,90.0,8.0,45.0,1044.0,1089.0
2.0,5.0,100.0,8.0,33.0,1089.0,1122.0
3.0,2.0,10.0,10.0,81.0,554.0,635.0
3.0,3.0,20.0,10.0,95.0,880.0,975.0
3.0,1.0,30.0,10.0,71.0,975.0,1046.0
3.0,5.0,40.0,10.0,99.0,1122.0,1221.0
3.0,7.0,50.0,10.0,9.0,1221.0,1230.0
3.0,9.0,60.0,10.0,52.0,1230.0,1282.0
3.0,8.0,70.0,10.0,85.0,1282.0,1367.0
3.0,4.0,80.0,10.0,98.0,1367.0,1465.0
3.0,10.0,90.0,10.0,22.0,1465.0,1487.0
3.0,6.0,100.0,10.0,43.0,1487.0,1530.0
4.0,3.0,10.0,1.0,14.0,0.0,14.0
4.0,1.0,20.0,1.0,6.0,14.0,20.0
4.0,2.0,30.0,1.0,22.0,20.0,42.0
4.0,6.0,40.0,1.0,61.0,42.0,103.0
4.0,4.0,50.0,1.0,26.0,103.0,129.0
4.0,5.0,60.0,1.0,69.0,129.0,198.0
4.0,9.0,70.0,1.0,21.0,198.0,219.0
4.0,8.0,80.0,1.0,49.0,219.0,268.0
4.0,10.0,90.0,1.0,72.0,268.0,340.0
4.0,7.0,100.0,1.0,53.0,340.0,393.0
5.0,3.0,10.0,4.0,84.0,14.0,98.0
5.0,2.0,20.0,4.0,2.0,173.0,175.0
5.0,6.0,30.0,4.0,52.0,175.0,227.0
5.0,4.0,40.0,4.0,95.0,271.0,366.0
5.0,9.0,50.0,4.0,48.0,420.0,468.0
5.0,10.0,60.0,4.0,72.0,478.0,550.0
5.0,1.0,70.0,4.0,47.0,550.0,597.0
5.0,7.0,80.0,4.0,65.0,597.0,662.0
5.0,5.0,90.0,4.0,6.0,662.0,668.0
5.0,8.0,100.0,4.0,25.0,668.0,693.0
6.0,2.0,10.0,3.0,46.0,127.0,173.0
6.0,1.0,20.0,3.0,37.0,173.0,210.0
6.0,4.0,30.0,3.0,61.0,210.0,271.0
6.0,3.0,40.0,3.0,13.0,271.0,284.0
6.0,7.0,50.0,3.0,32.0,393.0,425.0
6.0,6.0,60.0,3.0,21.0,425.0,446.0
6.0,10.0,70.0,3.0,32.0,446.0,478.0
6.0,9.0,80.0,3.0,89.0,478.0,567.0
6.0,8.0,90.0,3.0,30.0,567.0,597.0
6.0,5.0,100.0,3.0,55.0,597.0,652.0
7.0,3.0,10.0,6.0,31.0,226.0,257.0
7.0,1.0,20.0,6.0,86.0,257.0,343.0
7.0,2.0,30.0,6.0,46.0,343.0,389.0
7.0,6.0,40.0,6.0,74.0,555.0,629.0
7.0,5.0,50.0,6.0,32.0,668.0,700.0
7.0,7.0,60.0,6.0,88.0,700.0,788.0
7.0,9.0,70.0,6.0,19.0,795.0,814.0
7.0,10.0,80.0,6.0,48.0,814.0,862.0
7.0,8.0,90.0,6.0,36.0,862.0,898.0
7.0,4.0,100.0,6.0,79.0,898.0,977.0
8.0,1.0,10.0,9.0,76.0,92.0,168.0
8.0,2.0,20.0,9.0,69.0,260.0,329.0
8.0,4.0,30.0,9.0,76.0,435.0,511.0
8.0,6.0,40.0,9.0,51.0,629.0,680.0
8.0,3.0,50.0,9.0,85.0,795.0,880.0
8.0,10.0,60.0,9.0,11.0,880.0,891.0
8.0,7.0,70.0,9.0,40.0,891.0,931.0
8.0,8.0,80.0,9.0,89.0,955.0,1044.0
8.0,5.0,90.0,9.0,26.0,1044.0,1070.0
