job,ws,sequence,priority,duration,start,end
0.0,10.0,10.0,9.0,66.0,354.0,420.0
0.0,9.0,20.0,9.0,13.0,420.0,433.0
0.0,1.0,30.0,9.0,93.0,444.0,537.0
0.0,8.0,40.0,9.0,91.0,574.0,665.0
0.0,7.0,50.0,9.0,14.0,802.0,816.0
0.0,6.0,60.0,9.0,70.0,839.0,909.0
0.0,4.0,70.0,9.0,99.0,922.0,1021.0
0.0,3.0,80.0,9.0,53.0,1021.0,1074.0
0.0,5.0,90.0,9.0,86.0,1074.0,1160.0
0.0,2.0,100.0,9.0,16.0,1160.0,1176.0
1.0,9.0,10.0,2.0,34.0,52.0,86.0
1.0,10.0,20.0,2.0,99.0,95.0,194.0
1.0,1.0,30.0,2.0,62.0,194.0,256.0
1.0,8.0,40.0,2.0,65.0,256.0,321.0
1.0,6.0,50.0,2.0,62.0,321.0,383.0
1.0,5.0,60.0,2.0,64.0,383.0,447.0
1.0,7.0,70.0,2.0,21.0,447.0,468.0
1.0,3.0,80.0,2.0,12.0,468.0,480.0
1.0,4.0,90.0,2.0,9.0,480.0,489.0
1.0,2.0,100.0,2.0,75.0,489.0,564.0
2.0,10.0,10.0,4.0,12.0,0.0,12.0
2.0,9.0,20.0,4.0,26.0,86.0,112.0
2.0,8.0,30.0,4.0,64.0,178.0,242.0
2.0,7.0,40.0,4.0,92.0,242.0,334.0
2.0,5.0,50.0,4.0,67.0,447.0,514.0
2.0,6.0,60.0,4.0,28.0,514.0,542.0
2.0,4.0,70.0,4.0,66.0,542.0,608.0
2.0,3.0,80.0,4.0,83.0,608.0,691.0
2.0,2.0,90.0,4.0,38.0,691.0,729.0
2.0,1.0,100.0,4.0,58.0,729.0,787.0
3.0,1.0,10.0,8.0,77.0,77.0,154.0
3.0,2.0,20.0,8.0,73.0,180.0,253.0
3.0,4.0,30.0,8.0,82.0,281.0,363.0
3.0,3.0,40.0,8.0,75.0,480.0,555.0
3.0,7.0,50.0,8.0,84.0,718.0,802.0
3.0,5.0,60.0,8.0,19.0,802.0,821.0
3.0,6.0,70.0,8.0,18.0,821.0,839.0
3.0,8.0,80.0,8.0,89.0,928.0,1017.0
3.0,9.0,90.0,8.0,8.0,1017.0,1025.0
3.0,10.0,100.0,8.0,73.0,1025.0,1098.0
4.0,1.0,10.0,5.0,34.0,43.0,77.0
4.0,2.0,20.0,5.0,74.0,106.0,180.0
4.0,8.0,30.0,5.0,48.0,321.0,369.0
4.0,6.0,40.0,5.0,44.0,542.0,586.0
4.0,5.0,50.0,5.0,92.0,586.0,678.0
4.0,7.0,60.0,5.0,40.0,678.0,718.0
4.0,4.0,70.0,5.0,60.0,718.0,778.0
4.0,3.0,80.0,5.0,62.0,778.0,840.0
4.0,9.0,90.0,5.0,22.0,840.0,862.0
4.0,10.0,100.0,5.0,67.0,862.0,929.0
5.0,10.0,10.0,10.0,8.0,12.0,20.0
5.0,9.0,20.0,10.0,85.0,112.0,197.0
5.0,4.0,30.0,10.0,58.0,363.0,421.0
5.0,8.0,40.0,10.0,97.0,421.0,518.0
5.0,6.0,50.0,10.0,92.0,909.0,1001.0
5.0,5.0,60.0,10.0,89.0,1160.0,1249.0
5.0,7.0,70.0,10.0,75.0,1249.0,1324.0
5.0,3.0,80.0,10.0,77.0,1324.0,1401.0
5.0,2.0,90.0,10.0,95.0,1401.0,1496.0
5.0,1.0,100.0,10.0,5.0,1496.0,1501.0
6.0,9.0,10.0,1.0,52.0,0.0,52.0
6.0,10.0,20.0,1.0,43.0,52.0,95.0
6.0,7.0,30.0,1.0,5.0,95.0,100.0
6.0,8.0,40.0,1.0,78.0,100.0,178.0
6.0,6.0,50.0,1.0,12.0,178.0,190.0
6.0,4.0,60.0,1.0,62.0,190.0,252.0
6.0,5.0,70.0,1.0,21.0,252.0,273.0
6.0,3.0,80.0,1.0,80.0,273.0,353.0
6.0,2.0,90.0,1.0,60.0,353.0,413.0
6.0,1.0,100.0,1.0,31.0,413.0,444.0
7.0,10.0,10.0,7.0,81.0,273.0,354.0
7.0,9.0,20.0,7.0,23.0,354.0,377.0
7.0,8.0,30.0,7.0,23.0,377.0,400.0
7.0,7.0,40.0,7.0,75.0,535.0,610.0
7.0,5.0,50.0,7.0,78.0,678.0,756.0
7.0,6.0,60.0,7.0,56.0,756.0,812.0
7.0,4.0,70.0,7.0,51.0,871.0,922.0
7.0,3.0,80.0,7.0,39.0,922.0,961.0
7.0,2.0,90.0,7.0,53.0,1005.0,1058.0
7.0,1.0,100.0,7.0,96.0,1058.0,1154.0
8.0,10.0,10.0,6.0,79.0,194.0,273.0
8.0,9.0,20.0,6.0,55.0,273.0,328.0
8.0,3.0,30.0,6.0,88.0,353.0,441.0
8.0,5.0,40.0,6.0,21.0,514.0,535.0
8.0,6.0,50.0,6.0,83.0,586.0,669.0
8.0,4.0,60.0,6.0,93.0,778.0,871.0
8.0,7.0,70.0,6.0,47.0,871.0,918.0
8.0,8.0,80.0,6.0,10.0,918.0,928.0
8.0,1.0,90.0,6.0,63.0,928.0,991.0
8.0,2.0,100.0,6.0,14.0,991.0,1005.0
9.0,1.0,10.0,3.0,43.0,0.0,43.0
9.0,2.0,20.0,3.0,63.0,43.0,106.0
9.0,3.0,30.0,3.0,83.0,106.0,189.0
9.0,4.0,40.0,3.0,29.0,252.0,281.0
9.0,5.0,50.0,3.0,52.0,281.0,333.0
9.0,6.0,60.0,3.0,98.0,383.0,481.0
9.0,7.0,70.0,3.0,54.0,481.0,535.0
9.0,8.0,80.0,3.0,39.0,535.0,574.0
9.0,9.0,90.0,3.0,33.0,574.0,607.0
9.0,10.0,100.0,3.0,23.0,607.0,630.0
