job,ws,sequence,priority,duration,start,end
0.0,8.0,10.0,2.0,96.0,0.0,96.0
0.0,13.0,20.0,2.0,23.0,96.0,119.0
0.0,6.0,30.0,2.0,71.0,188.0,259.0
0.0,9.0,40.0,2.0,26.0,259.0,285.0
0.0,4.0,50.0,2.0,28.0,285.0,313.0
0.0,15.0,60.0,2.0,16.0,313.0,329.0
0.0,14.0,70.0,2.0,27.0,329.0,356.0
0.0,10.0,80.0,2.0,71.0,485.0,556.0
0.0,1.0,90.0,2.0,18.0,593.0,611.0
0.0,2.0,100.0,2.0,57.0,611.0,668.0
0.0,5.0,110.0,2.0,43.0,668.0,711.0
0.0,3.0,120.0,2.0,5.0,711.0,716.0
0.0,7.0,130.0,2.0,12.0,716.0,728.0
0.0,12.0,140.0,2.0,91.0,728.0,819.0
0.0,11.0,150.0,2.0,63.0,819.0,882.0
1.0,9.0,10.0,15.0,32.0,137.0,169.0
1.0,1.0,20.0,15.0,81.0,207.0,288.0
1.0,6.0,30.0,15.0,95.0,288.0,383.0
1.0,14.0,40.0,15.0,79.0,630.0,709.0
1.0,7.0,50.0,15.0,55.0,825.0,880.0
1.0,2.0,60.0,15.0,45.0,895.0,940.0
1.0,5.0,70.0,15.0,60.0,1049.0,1109.0
1.0,3.0,80.0,15.0,73.0,1244.0,1317.0
1.0,4.0,90.0,15.0,23.0,1317.0,1340.0
1.0,12.0,100.0,15.0,44.0,1403.0,1447.0
1.0,11.0,110.0,15.0,92.0,1447.0,1539.0
1.0,13.0,120.0,15.0,20.0,1539.0,1559.0
1.0,10.0,130.0,15.0,5.0,1559.0,1564.0
1.0,15.0,140.0,15.0,72.0,1564.0,1636.0
1.0,8.0,150.0,15.0,73.0,1636.0,1709.0
2.0,7.0,10.0,11.0,63.0,86.0,149.0
2.0,9.0,20.0,11.0,93.0,500.0,593.0
2.0,8.0,30.0,11.0,63.0,593.0,656.0
2.0,2.0,40.0,11.0,79.0,668.0,747.0
2.0,10.0,50.0,11.0,10.0,771.0,781.0
2.0,6.0,60.0,11.0,66.0,820.0,886.0
2.0,13.0,70.0,11.0,27.0,918.0,945.0
